 LOCATOR_GENERAL OUTPUT: 
    User: sscweb
    Date: Thu  4-Dec-2025 (338) 03:56:29
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            mms4           60         1

           Start Time           Stop Time 
           2018  33  0.00000    2018  33 23.99972


 Coord/            Min/Max      Range Filter          Filter
Component   Output Markers    Minimum     Maximum    Mins/Maxes
GSE X        YES      -         -           -             -   
GSE Y        YES      -         -           -             -   
GSE Z        YES      -         -           -             -   
GSE LT       YES      -         -           -             -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YYYY DDD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Earth radii with 2 place(s).
2018  33 03:39:30      19.71     -10.02       6.12 10:12:15
2018  33 03:40:30      19.72     -10.02       6.12 10:12:18
2018  33 03:41:30      19.73     -10.01       6.12 10:12:20
2018  33 03:42:30      19.73     -10.01       6.12 10:12:23
2018  33 03:43:30      19.74     -10.01       6.13 10:12:26
2018  33 03:44:30      19.75     -10.01       6.13 10:12:29
2018  33 03:45:30      19.76     -10.01       6.13 10:12:32
2018  33 03:46:30      19.76     -10.01       6.13 10:12:35
2018  33 03:47:30      19.77     -10.01       6.14 10:12:37
2018  33 03:48:30      19.78     -10.01       6.14 10:12:40
2018  33 03:49:30      19.79     -10.00       6.14 10:12:43
2018  33 03:50:30      19.79     -10.00       6.14 10:12:46
2018  33 03:51:30      19.80     -10.00       6.14 10:12:49
2018  33 03:52:30      19.81     -10.00       6.15 10:12:51
2018  33 03:53:30      19.81     -10.00       6.15 10:12:54
2018  33 03:54:30      19.82     -10.00       6.15 10:12:57
2018  33 03:55:30      19.83      -9.99       6.15 10:13:00
2018  33 03:56:30      19.84      -9.99       6.16 10:13:03
2018  33 03:57:30      19.84      -9.99       6.16 10:13:05
2018  33 03:58:30      19.85      -9.99       6.16 10:13:08
2018  33 03:59:30      19.86      -9.99       6.16 10:13:11
2018  33 04:00:30      19.86      -9.99       6.17 10:13:14
2018  33 04:01:30      19.87      -9.99       6.17 10:13:17
2018  33 04:02:30      19.88      -9.98       6.17 10:13:19
2018  33 04:03:30      19.89      -9.98       6.17 10:13:22
2018  33 04:04:30      19.89      -9.98       6.18 10:13:25
2018  33 04:05:30      19.90      -9.98       6.18 10:13:28
2018  33 04:06:30      19.91      -9.98       6.18 10:13:31
2018  33 04:07:30      19.91      -9.98       6.18 10:13:33
2018  33 04:08:30      19.92      -9.98       6.18 10:13:36
2018  33 04:09:30      19.93      -9.97       6.19 10:13:39
2018  33 04:10:30      19.93      -9.97       6.19 10:13:42
2018  33 04:11:30      19.94      -9.97       6.19 10:13:44
2018  33 04:12:30      19.95      -9.97       6.19 10:13:47
2018  33 04:13:30      19.96      -9.97       6.20 10:13:50
2018  33 04:14:30      19.96      -9.97       6.20 10:13:53
2018  33 04:15:30      19.97      -9.96       6.20 10:13:56
2018  33 04:16:30      19.98      -9.96       6.20 10:13:58
2018  33 04:17:30      19.98      -9.96       6.21 10:14:01
2018  33 04:18:30      19.99      -9.96       6.21 10:14:04
2018  33 04:19:30      20.00      -9.96       6.21 10:14:07
2018  33 04:20:30      20.00      -9.96       6.21 10:14:09
2018  33 04:21:30      20.01      -9.96       6.21 10:14:12
2018  33 04:22:30      20.02      -9.95       6.22 10:14:15
2018  33 04:23:30      20.02      -9.95       6.22 10:14:18
2018  33 04:24:30      20.03      -9.95       6.22 10:14:20
2018  33 04:25:30      20.04      -9.95       6.22 10:14:23
2018  33 04:26:30      20.05      -9.95       6.23 10:14:26
2018  33 04:27:30      20.05      -9.95       6.23 10:14:29
2018  33 04:28:30      20.06      -9.94       6.23 10:14:31
2018  33 04:29:30      20.07      -9.94       6.23 10:14:34
2018  33 04:30:30      20.07      -9.94       6.24 10:14:37
